Floating holiday for Day after Doljatra on Saturday, 15-Mar-2025 in Bengaluru
Floating holiday for Bhai Duj on Sunday, 16-Mar-2025 in Bengaluru
Floating holiday for Dodarmal Jayanti on Tuesday, 18-Mar-2025 in Bengaluru
Floating holiday for Virangana Avantibai ka Balidan Diwas on Thursday, 20-Mar-2025 in Bengaluru
Floating holiday for Jamshedi Navroz (Parsi Shahenshahi & Parsi Kadmi) on Friday, 21-Mar-2025 in Bengaluru
Floating holiday for Shahadat HZT Ali (RA) on Friday, 21-Mar-2025 in Bengaluru
Floating holiday for Shahadat-e-Hazarat Ali on Saturday, 22-Mar-2025 in Bengaluru
Floating holiday for Martyrdom day of Bhagat Singh, Rajguru & Sukhdev on Sunday, 23-Mar-2025 in Bengaluru
Floating holiday for Shadeedi Diwas on Sunday, 23-Mar-2025 in Bengaluru
Floating holiday for Bhakt Mata Karma Jayanti on Tuesday, 25-Mar-2025 in Bengaluru
Floating holiday for Birthday of Shri Shri Harichand Thakur (Madhu Krishna Troyodashi Tithi) on Thursday, 27-Mar-2025 in Bengaluru
Floating holiday for Shab-E-Qadar on Thursday, 27-Mar-2025 in Bengaluru
Floating holiday for Jumat-Ul-Vida on Friday, 28-Mar-2025 in Bengaluru
Floating holiday for Shab-E-Qader on Friday, 28-Mar-2025 in Bengaluru
Floating holiday for Jumuatul Wada on Friday, 28-Mar-2025 in Bengaluru
Floating holiday for Jumat-Ul-Vida (Last day of ramzan) on Friday, 28-Mar-2025 in Bengaluru
Floating holiday for Ugadi Festival on Sunday, 30-Mar-2025 in Bengaluru
Floating holiday for Ugadi on Sunday, 30-Mar-2025 in Bengaluru
Floating holiday for Gudhi Padwa on Sunday, 30-Mar-2025 in Bengaluru
Floating holiday for Telugu New Year's Day on Sunday, 30-Mar-2025 in Bengaluru
Floating holiday for Cheti Chand on Sunday, 30-Mar-2025 in Bengaluru
Floating holiday for Day before Eid-Ul-Fitr on Sunday, 30-Mar-2025 in Bengaluru
Mandatory holiday for Id-Ul-Fitr * on Monday, 31-Mar-2025 in Bengaluru
Mandatory holiday for Ramdan on Monday, 31-Mar-2025 in Bengaluru
Mandatory holiday for Khutub-e-Ramzan * on Monday, 31-Mar-2025 in Bengaluru
Mandatory holiday for Bhagwan Meenesh Jayanti on Monday, 31-Mar-2025 in Bengaluru
Floating holiday for Ramjan-Ed (Id-Ul-Fitra) (2nd Shawaal) on Tuesday, 1-Apr-2025 in Bengaluru
Floating holiday for Utkal Divas on Tuesday, 1-Apr-2025 in Bengaluru
Floating holiday for Day after Eid-Ul-Fitr on Tuesday, 1-Apr-2025 in Bengaluru
Floating holiday for Following day of Ramzan on Tuesday, 1-Apr-2025 in Bengaluru
Floating holiday for Eid-Ul-Fitr on Tuesday, 1-Apr-2025 in Bengaluru
Floating holiday for Nishadraj Jayanti on Wednesday, 2-Apr-2025 in Bengaluru
Floating holiday for Devara Daseemaiah Jayanthi on Wednesday, 2-Apr-2025 in Bengaluru
Floating holiday for Babu Jagjivan Ram's Birthday on Saturday, 5-Apr-2025 in Bengaluru
Floating holiday for Maharishi Kashyap and Maharaja Nishadraj Guha Jayanti on Saturday, 5-Apr-2025 in Bengaluru
Floating holiday for Sri Ramanavami on Sunday, 6-Apr-2025 in Bengaluru
Floating holiday for Shri Ram Navami on Sunday, 6-Apr-2025 in Bengaluru
Floating holiday for Ram Navami on Sunday, 6-Apr-2025 in Bengaluru
Floating holiday for Mahavir Jayanti on Thursday, 10-Apr-2025 in Bengaluru
Floating holiday for Mahaveer Jayanthi on Thursday, 10-Apr-2025 in Bengaluru
Floating holiday for Mahavir Janma Kalyanak on Thursday, 10-Apr-2025 in Bengaluru
Floating holiday for Mahavir Janmakalyanak on Thursday, 10-Apr-2025 in Bengaluru
